MarketName,Street,City,County,State,Zipcode,Longitude,Latitude
Cooperative Farmers Market of Scranton,900 Barring Avenue (off Providence Rd and Albright Ave),Scranton,,Pennsylvania,18508,-75.6605,41.4246
Coopers Cove Farmers Market,104 E. Avenue D,Lampasas,Lampasas,Texas,79045,-98.185,31.0708
Cooperstown Farmers Market,Fairgrounds,Cooperstown,Griggs,North Dakota,,-98.124,47.4444
Cooperstown Farmers' Market,"101 Main Street, PO Box 1130",Cooperstown,Otsego,New York,13326,-74.925236,42.700127
Coopersville Farmers Market,N. Main Street Parking Lot Pavilion,Coopersville,Ottawa,Michigan,49404,-85.9412,43.0599
Coos Bay Downtown Farmer's Market,120 Central Ave.,Coos Bay,Coos,Oregon,97420,-124.213572,43.367871
Copake Farmers Market,Church St.,Copake,Columbia,New York,12516,-73.550591,42.10346
Copiah County Farmers Market,138 North Ragsdale,Hazlehurst,Copiah,Mississippi,39083,-90.394521,31.861449
Copley Creekside Farmers Market,1245 Cleveland Massillon Road,Copley,,Ohio,44321,-81.6419,41.1044
Copley Square Farmers Market,"Copley Square, along St. James Ave., Dartmouth and Boylston Streets",Boston,Suffolk,Massachusetts,2116,-71.0766,42.3497
Coppell Farmers Market,793 S. Coppell Road,Coppell,Dallas,Texas,75019,-97.005597,32.951225
Copper Ridge & Fairhaven Farmers' Market,710 Obrecht Road,Sykesville,Carroll,Maryland,21784,-76.9756,39.3782
Copper Street Farmers' Market,216 S Copper St,Deming,Luna,New Mexico,,-107.7599,32.26721
Copper Valley Community Market,MM 101 Richardson Hwy Loop Road,Copper Valley,,Alaska,99737,-145.444,62.0879
Coquille Farmers Market,115 N. Birch St.,Coquille,Coos,Oregon,97423,-124.191,43.1755
Coral Gables Farmers Market,405 Biltmore Way,Coral Gables,Miami-Dade,Florida,33134,-80.2632,25.749
Coral Gables Museum Market on the Plaza,285 Aragon Avenue,Coral Gables,Miami-Dade,Florida,33134,-80.260407,25.7504534
Coralville Farmers' Market,1513 7th St.,Coralville,Johnson,Iowa,52241,-91.584392,41.67865
Corapopolis Farmers Market,414 Grant Street,Coraopolis,Allegheny,Pennsylvania,15143,-80.1612,40.5163
Cordele State Farmers Market,1901 U.S. Highway 41-North,Cordele,Crisp,Georgia,31010,-83.8654,31.8985
Corey Fresh Market,Corey Avenue and Blind Pass Road,St. Pete Beach,Pinellas,Florida,33706,-82.749527,27.742378
Corinth Farmers Market,Shiloh Road,Corinth,Alcorn,Mississippi,38834,-88.4963,34.9478
Corn on the Curb Farmers Market,224 West Crawford St.,Findlay,Hancock,Ohio,45840,-83.6525,41.0378
Corning Farmers Market,"Riverfront Centennial Park, Gaffer District",Corning,Steuben,New York,14830,-77.0547,42.1429
Corning Farmers Market,John Altier Park N. Valley/Adams St.,Corning,Perry,Ohio,,-82.0891,39.604
Cornish Farmers' Market,Rte. 120,Cornish Flat,Sullivan,New Hampshire,,-72.2766,43.5074
Cornucopia Farmers Market,Town Beach Park,Cornucopia,Bayfield,Wisconsin,,-91.1014,46.8578
Cornville Farmers Market,Windmill Park 9950 East Cornville Road,Cornville,Yavapai,Arizona,86325,-111.9179,34.71824
Cornwall Farmers Market,"Cornwall Town Hall lot, 183 Main St.",Cornwall-on-Hudson,Orange,New York,12518,-74.028461,41.438973
CORNWALL FARMERS’ MARKET,"413 Route 128, Near Covered Bridge",Cornwall,Litchfield,Connecticut,,-73.3577,41.8734
Corona Del Mar Farmers Market,Margarite & Pacific Coast Highway,San Clemente,Orange,California,92672,-117.594253,33.39808
Corona Greenmarket,Roosevelt Ave & 103rd St,Queens,Queens,New York,11368,-73.8627,40.7499
CoronaCFM,488 N. Main Street,Corona,Riverside,California,92878,-117.566,33.8861
Coronado Certified Farmers Market,"Ferry Landing, 1st & B",Coronado,San Diego,California,92118,-117.17,32.6978
Corpus Christi Downtown Farmers Market,505 South Water Street,Corpus Christi,Nueces,Texas,78401,-97.395767,27.787335
Corpus Christi Southside Farmers Market,5800 Everhart Rd.,Corpus Christi,Nueces,Texas,78413,-97.39172,27.70244
Corrales Growers' Market,Corrales Rd & Jones Rd,Corrales,Sandoval,New Mexico,,-106.6201646,35.2200064
Correctionville Farm & Fun,"Old High School, 512 5th Street",Correctionville,Woodbury,Iowa,51016,-95.7848,42.475
Corte Madera Farmers Market,Town Center Central Courtyard,Novato,Marin,California,94949,-122.551,38.0703
Cortelyou Greenmarket,Cortelyou & Rugby Rds,Brooklyn,Kings,New York,11226,-73.9653,40.6408
Cortez Farmers Market,109 W Main Street,Cortez,Montezuma,Colorado,81321,-108.584,37.3487
Cortland Farmers Market,"4th & Main Street, 1 block west of Highway77",Cortland,Gage,Nebraska,68331,-96.705019,40.505384
Cortland Farmers Market,290 S. High Street,Cortland,Trumbull,Ohio,44410,-80.726906,41.325344
Corvallis Farmers' Market,1st & Jackson,Corvallis,Benton,Oregon,97330,-123.2582494,44.5648128
Corvallis Indoor Winter Market,110 SW 53rd St,Corvallis,Benton,Oregon,97333,-123.314881,44.567022
Coshocton Farmer's Market Association,707 Kenilworth Avenue,Coshocton,Coshocton,Ohio,43812,-81.85821,40.26373
Costa Mesa Certified Farmers' Market,88 Fair Drive,Costa Mesa,Orange,California,92626,-117.903074,33.665613
Cotati Farmers' Market,W Sierra Ave and Old Redwood Hwy,Cotati,Sonoma,California,94931,-122.707194,38.326348
Coteau Hills Farmers' Market,105 Main Ave South,Kulm,,North Dakota,58456,-98.9491,46.3014
Coto De Caza Farmers Market,Antonio Pkwy. & Coto de Caza Dr.,Coto de Caza,Orange,California,92672,-117.603,33.4179
Cotopaxi Farmers Market,20326 U.S. Hwy 50 Cotopaxi Community Church,Cotopaxi,,Colorado,81223,-105.682,38.3728
Cottage Grove Grower Market,"Coiner Park, Main Street",Cottage Grove,Lane,Oregon,97424,-123.0540614,43.7971436
Cotter Farmers Market,Courthouse Square,Cotter,Baxter,Arkansas,72626,-92.5354,36.2712
Cottin's Hardware Farmers Market,1832 Massachusetts Street,Lawrence,Douglas,Kansas,66044,-95.235157,38.950755
Cotton Mill Farmers Market,401 Rome St.,Carrollton,Carroll,Georgia,30117,-85.0742,33.5825
Cottonwood Creek Watershed CFM,"3308 Main Street, Cottonwood, Ca 96022",Cottonwood Creek,Shasta,California,,-122.282,40.384
Cottonwood Farmers Market and Jamboree,791 N.Main St. in Old Town Historic District,Cottonwood,Yavapai,Arizona,86326,-112.027,34.7456
Country Club Hills Farmers Market,4200 W. 183rd St.,Country Club Hills,Cook,Illinois,60478,-87.7162,41.5572
Country Fair Farmers Market In Champaign,229 Mattis Ave.,Champaign,Champaign,Illinois,61821,-88.2769,40.1148
Country Farm & Craft Market Paso Park,Spring & 11th Street,Paso Robles,San Luis Obispo,California,93446,-120.691,35.6258
Country Farm & Craft Market Paso Park,Golden Hills Shopping Center (Lowe's),Paso Robles,San Luis Obispo,California,93446,-120.659,35.6447
Country Farm & Craft Market Paso Park,81 Wellsona Road,Paso Robles,San Luis Obispo,California,93446,-120.697,35.6958
Country Fresh Meats and Farmer's Market,9355 US Hwy 60 W.,Sturgis,Union,Kentucky,42459,-87.951651,37.47559
Country Harvest Greenhouse,6833 Whitneyville Ave SE,Alto,,Michigan,49302,-85.4597,42.8405
Country Lane Farmers Market,1642 16th St,Barron,Barron,Wisconsin,54812,-91.828516,45.443768
Country Market,,Stanley,Mountrail,North Dakota,,-102.390451,48.317241
Country Market & Craft Fair,41-1330 Kalanianaole Hwy,Waimanalo,,Hawaii,96795,-157.662,21.313
Countryside Farm Market,5054 Route 7,Troy,Rensselaer,New York,12180,-73.3244,42.8635
Countryside Farmers' Markets,4040 Riverview Rd.,Peninsula,Summit,Ohio,44264,-81.582584,41.189409
Countryside Farmers' Markets,W. Market & Conger Ave,Akron,Summit,Ohio,,-81.5445258,41.097002
Countryside Farmers' Markets,2315 Ira Road,Akron,Summit,Ohio,44333,-81.588035,41.187245
Coupeville Farmers Market,C,Coupeville,Island,Washington,98239,-122.689111,48.219297
Court Street Farmer's Market,300 Carter Avenue,New Albany,Union,Mississippi,38652,-89.0105,34.4929
Coushatta Farmers' Market,1007 Main Street,Elton,Jefferson Davis,Louisiana,70532,-92.6948973,30.4813117
Coventry Farmers Market,109 North Road,,Chenango,New York,,-75.6385,42.3161
Coventry Regional Farmers' Market,2299 South St,Coventry,Tolland,Connecticut,6238,-72.3457,41.7641
Coventry Village Farmers Market,Corner of Coventry Rd and Euclid Hts Blvd.,Cleveland Hts,Cuyahoga,Ohio,,-81.58,41.5081
Covered Bridge Farmers' Market,Memorial Park,St. Marys,Auglaize,Ohio,45885,-84.3852,40.5442
Covina CFM,School St. and Citrus Ave.,Covina,LOS ANGELES,California,,-117.89,34.0893
Covina Farmers Market,"Civic Center Park, Citrus & San Bernadino Rd.",Los Angeles,Los Angeles,California,90018,-117.885,34.0852
Covington Farmers Market,134 West Main Street,Covington,Alleghany,Virginia,24426,-79.9944,37.7935
Covington Farmers Market,609 N. Columbia Street,Covington,St. Tammany,Louisiana,70433,-90.0955,30.4793
Coweta Farmers Market,Northwest corner of Avenue B & Cypress,Coweta,Wagoner,Oklahoma,74429,-95.6518,35.9499
Cowlitz County Community Farmers Market I,Intersection of Broadway & Commerce,Longview,Cowlitz,Washington,98632,-122.964,46.1501
Cowlitz County Community Farmers Market II,Cowlitz County Fairgrounds,Longview,Cowlitz,Washington,98632,-122.925,46.1406
Cowtown Farmers Market,3821 Southwest Blvd.,Fort Worth,Tarrant,Texas,76116,-97.4420986,32.7164713
Cowtown Farmers Market,,New Salem,Morton,North Dakota,,-101.412,46.8462
Coxsackie Farmers' Market,1 Betke Boulevard,Coxsackie,Greene,New York,12051,-73.7970299,42.352405
coyote farm and home market,106 Maple,ashland,Boone,Missouri,65010,-92.2574988,38.7736219
Cozad Farmers Market,8th & F St.,Cozad,Dawson,Nebraska,69130,-99.9859,40.8595
Craftsbury Common Market,On the Common,Craftsbury Common,Orleans,Vermont,5826,-72.3834,44.6535
Craig Farmers' Market,Alice Pleasant Park,Craig,Moffat,Colorado,,-107.546,40.5152
Cranberry Mall Farmers Market,Crnberry Mall,Cranberry,Venango,Pennsylvania,16346,-79.7101,41.3498
Crane Creek Market,205 South Commerce Street,Crane,Stone,Missouri,65633,-93.572941,36.899749
Crawfordsville/Montgomery County Farmers Markret,corner of market and Washington sts.,Crawfordsville,Montgomery,Indiana,47933,-86.9013,40.0429
Creedmoor Farmers Market,214 North Main Street,Creedmoor,Granville,North Carolina,27522,-78.6812,36.1278
creekside gahanna farmers market,downtown olde gahanna,gahanna,Franklin,Ohio,,-82.8664,40.0113
Creekside Park Farmers Market,214 Park Drive,Archdale,Randolph,North Carolina,27263,-79.9352093,35.8939455
Creighton Farmers Market,In front of Senior Center,Brunswick,Antelope,Nebraska,68720,-97.970638,42.336917
Crenshaw County Farmers Market,Highway 331 in Midtown,Luverne,Crenshaw,Alabama,36049,-86.2846,31.7433
Crenshaw Farmers' Market,3650 Crenshaw Blvd.,Los Angeles,Los Angeles,California,90008,-118.335221,34.010835
Crescent City Farmers Market,200 Broadway,New Orleans,Orleans,Louisiana,70118,-90.132963,29.930727
Crescent City Farmers Market,3700 Orleans Ave,New Orleans,Orleans,Louisiana,70119,-90.09259857,29.97718535
Crescent City Farmers Market,700 Magazine Street,New Orleans,Orleans,Louisiana,70130,-90.068701,29.946624
Crescent City Farmers Market,1 South Summit Street,Crescent City,Putnam,Florida,32112,-81.509943,29.429825
Crescent City Farmers Market,"Parking lot of, Del Norte Fairgrounds parking lot",Crescent City,Del Norte,California,95531,-124.147,41.8548
Cresco Farmers Market,"Grube's north lot, corner 2nd Street & 1st Avenue W",Cresco,Howard,Iowa,25136,-92.1187,43.371
Crested Butte Farmers Market,202 Elk Ave #8,Crested Butte,Gunnison,Colorado,81224,-106.9874825,38.869755
Creston Farmers' Market,"McKinley Park, between W. Adams & N. Park Sts.",Creston,Union,Iowa,50801,-94.3828,41.0524
Crestview Farmers Market,Spanish Trail Park,Crestview,Okaloosa,Florida,32539,-86.5631,30.7734
Creswell Farmers' Market,1st St. and Oregon Ave.,Creswell,Lane,Oregon,97426,-123.019931,43.917822
Crete European Market,1321 Main St.,Crete,Will,Illinois,60417,-87.6314,41.4456
Crete Farmers Market,"Pamida parking lot, 930 Main Ave.",Crete,Saline,Nebraska,68333,-96.6777,40.5716
Crisp! 63rd-Green Line,6315 S Ashland,Chicago,Cook,Illinois,60621,-87.664094,41.778954
Crisp! Addison-Brown Line,1818 W Addison,Chicago,Cook,Illinois,60613,-87.674545,41.946927
Crisp! Auburn Gresham,1050 W 79th St.,Chicago,Cook,Illinois,60620,-87.6510177,41.7506624
Crisp! Austin,335 N Menard,Chicago,Cook,Illinois,60644,-87.769513,41.886822
Crisp! Austin-Blue Line,351 N Austin,Oak Park,Cook,Illinois,60304,-87.774893,41.887157
Crisp! Belmont Cragin,6054 W Grand Ave.,Chicago,Cook,Illinois,60639,-87.7777506,41.9212361
Crisp! Belmont-Red/Brown Lines,945 W Belmont,Chicago,Cook,Illinois,60657,-87.653457,41.939895
Crisp! Catholic Charities,721 N LaSalle St.,Chicago,Cook,Illinois,60654,-87.632176,41.895142
Crisp! Chatham,8300 S Cottage Grove Ave.,Chicago,Cook,Illinois,60619,-87.605588,41.743501
Crisp! Columbus Park,500 S Central Ave.,Chicago,Cook,Illinois,60644,-87.764648,41.872814
Crisp! Conservatory-Green Line,3630 W Lake,Chicago,Cook,Illinois,60624,-87.716547,41.885009
Crisp! Diversey-Brown Line,943 W Diversey,Chicago,Cook,Illinois,60614,-87.653078,41.932639
Crisp! Douglas Park,1401 S Sacramento Dr.,Chicago,Cook,Illinois,60623,-87.695536,41.858978
Crisp! Fullerton-Red/Brown Lines,947 W Fullerton,Chicago,Cook,Illinois,60614,-87.653017,41.925363
Crisp! Gage Park,3244 W 59th St.,Chicago,Cook,Illinois,60629,-87.705226,41.786477
Crisp! Garfield Park,100 N Central Park Ave.,Chicago,Cook,Illinois,60624,-87.715891,41.881419
Crisp! Garfield-Green Line,320 E Garfield Blvd.,Chicago,Cook,Illinois,60615,-87.6182808,41.7947539
Crisp! Humboldt Park,1440 N Humboldt Dr.,Chicago,Cook,Illinois,60622,-87.701242,41.906988
Crisp! Jackson Park,6401 S Stony Island Ave.,Chicago,Cook,Illinois,60637,-87.586935,41.777713
Crisp! Kelvyn Park,2715 N Cicero Ave.,Chicago,Cook,Illinois,60639,-87.746111,41.930039
Crisp! Marquette Park,6743 S Kedzie Ave.,Chicago,Cook,Illinois,60629,-87.702875,41.7709226
Crisp! McKinley Park,2210 W Pershing Rd.,Chicagi,Cook,Illinois,60609,-87.679686,41.824881
Crisp! New City,4845 S Western Blvd.,Chicago,Cook,Illinois,60609,-87.68376,41.805503
Crisp! North/Clybourn-Red Line,1599 N Clybourn,Chicago,Cook,Illinois,60642,-87.64917,41.910784
Crisp! Ogden Park,6500 S Rafcine Ave.,Chicago,Cook,Illinois,60636,-87.654437,41.775947
Crisp! Paulina-Brown Line,3410 N Lincoln Ave.,Chicago,Cook,Illinois,60657,-87.671391,41.943565
Crisp! Rainbow Beach,2804 E 77th Place,Chicago,Cook,Illinois,60649,-87.554833,41.7546231
Crisp! Sherman Park,1301 W 52nd St.,Chicago,Cook,Illinois,60609,-87.658628,41.799267
Crisp! South Shore,2355 E 67th St.,Chicago,Cook,Illinois,60649,-87.5678643,41.7734364
Crisp! Washington Heights,848 W 103rd St.,Chicago,Cook,Illinois,60624,-87.6447845,41.7069154
Crisp! Washington Park,5531 S Martin Luther King Dr.,Chicago,Cook,Illinois,60637,-87.615927,41.793785
Crisp! Wellington-Brown Line,945 W Wellington Ave.,Chicago,Cook,Illinois,60657,-87.653326,41.936269
Crisp! West Humboldt Park,3656 W Huron St.,Chicago,Cook,Illinois,60624,-87.7185266,41.8936981
Crisp! Western-Brown Line,4648 N Western,Chicago,Cook,Illinois,60625,-87.688879,41.966305
Crisp! Western-Pink Line,2009 S Western,Chicago,Cook,Illinois,60608,-87.685663,41.854302
Crocker Farms LLC,14400 North Route Z,Centralia,Boone,Missouri,65240,-92.136565,39.118058
Crockett Farmers Market at Maury City,F.M. Old Elementary School,Maury City,Crockett,Tennessee,38050,-89.2205,35.8149
Cromwell Farmers’ Market,52 Missionary Road,Cromwell,Middlesex,Connecticut,6416,-72.6629,41.6005
Crookston Farmers Market I,Bremer Bank,Crookston,Polk,Minnesota,56716,-96.606155,47.774684
Crookston Farmers Market II,High School,Crookston,,Minnesota,56716,-96.6035,47.7893
Crosby Farmers Market,Main St.,Crosby,Divide,North Dakota,58730,-103.297,48.9088
Cross Community Centers Farmers Market,1690 Old Hwy. 6,Cross,Berkeley,South Carolina,29436,-80.213177,33.372309
Cross County Farmers Market,705 E. Union Ave.,Wynne,Cross,Arkansas,72396,-90.78618,35.22325
Cross Mills Farmers Market,4219 Old Post Road,Charlestown,Washington,Rhode Island,2813,-71.6337632,41.3826254
Cross Timbers Food Cooperative,,Denton,Denton,Texas,76201,-97.1331,33.2235
CrossRoad Famers Market,,Reed City,Osceola,Michigan,49677,-85.51054,43.875639
Crossroad Orchard,8040 Upper Miamisburg Rd,Miamisburg,Montgomery,Ohio,45342,-84.3289,39.6435
Crossroads Bellevue Farmers Market,15600 N.E. 8th Street,Bellevue,King,Washington,98008,-122.129088,47.6195
Crossroads Farm at Grossmann's,480 Hempstead Avenue,Malverne,Nassau,New York,11565,-73.664419,40.679365
Crossroads Farmers Market,7676 New Hampshire Avenue,Takoma Park,Montgomery,Maryland,20912,-76.988583,38.986918
Crossroads Farmers Market,111West B. St.,Shoshone,Lincoln,Idaho,83352,-114.408488,42.933364
Crossroads Farmers Market: A Project of Mississippi Delta Council,1536 Desoto Ave,Clarksdale,Coahoma,Mississippi,38614,-90.555756,34.178923
Crosstown Freeway Farmers' Market,203 E. Washington Street,Stockton,San Joaquin,California,95202,-121.287228,37.950864
Croton-on-Hudson Farmers Market,Municipal Lot on Municipal Pl. and Riverside Ave.,Croton-on-Hudson,Westchester,New York,10520,-73.88766,41.20197
Crouch Farmers Market,The Merc Parking Lot,Crouch,Boise,Idaho,83602,-115.97,44.1135
Crown Point Farmers Market,South Main Street,Crown Point,Lake,Indiana,46307,-87.3647,41.4155
Crown Valley Champagne,23589 State Route WW,Ste. Genevieve,Ste. Genevieve,Missouri,63670,-90.179753,37.778019
Crozet Farmers Market,Corner of Jarmans Gap Rd. & Crozet Ave.,Crozet,Albemarle,Virginia,22932,-78.7019,38.068
Crystal City Farmers' Market,105 Bailley Rd.,Crystal City,Jefferson,Missouri,63019,-90.37869,38.21872
Crystal City FRESHFARM Market,2000 Crystal Drive,Crystal City,Arlington,Virginia,22202,-77.049286,38.85672
Crystal Falsh Energy Farmers Market,"1754 Alpine Avenue, N.W.",Grand Rapids,Kent,Michigan,49504,-85.6884,42.9957
Crystal Farmers Market,831 S. Main Street parking lot,Crystal,Montcalm,Michigan,48818,-84.9149,43.2581
Crystal Lake Farmers Market,"Depot Park, Woodstock & Williams Streets",Crystal Lake,McHenry,Illinois,60014,-88.31716,42.2438
Crystal Springs Farmers Market,West Railroad Ave,Crystal Springs,Copiah,Mississippi,39059,-90.358772,31.987521
CSA Farmers Market,2933 Burnside Rd.,North Branch,Lapeer,Michigan,48461,-83.23636673,43.20661001
"Cuba, New Mexico Farmers Market",NM 126 St. Francis of Assisi Park,Cuba,Sandoval,New Mexico,87013,-106.9584,36.02222
Cudahy Farmers Market,4700 South Packard Avenues (Municipal parking lot),Cudahy,Milwaukee,Wisconsin,53110,-87.9163,43.0376
Cuero Farmers Market,Cuero City Park Entrance,Cuero,Dewitt,Texas,77954,-97.1686,28.9695
CUIVRE RIVER FARMERS MARKET,120 Market Place Drive,TROY,Lincoln,Missouri,63379,-90.971303,38.988752
Culinary Kids Farmers Market I,30-15 Seagirt Blvd. and Beach 31st St.,Inwood,Queens,New York,11096,-73.7639,40.596
Culinary Kids Farmers Market II,Beach 58th Street & Beach Channel Drive,Bronx,Queens,New York,10468,-73.7885,40.5947
Cully Community Market,5600 Ne 42nd Ave,Portland,Multnomah,Oregon,97218,-122.6193656,45.56334
Culpeper Farmers Market,"E. Main St. & Commerce St.,Adjacent to train depot",Culpeper,Culpeper,Virginia,22701,-77.9969,38.4714
Culver City Farmers Market,Main & Culver,Culver City,Los Angeles,California,90232,-118.396,34.0247
Cumberland County Farmers Market,Highway 70,Crossville,Cumberland,Tennessee,38557,-84.9026,35.9677
Cumberland Farmers Market,,Cumberland,Barron,Wisconsin,54829,-92.022484,45.533654
Cumberland Farmers Market,11501 E. Washington St.,Cumberland,Marion,Indiana,46229,-85.9612,39.7758
Cumberland Farmers Market,Hat Trick Drive,Falmouth,Cumberland,Maine,,-70.234668,43.7207702
Cumberland Farmers Market,191 US Route 1,Falmouth,Cumberland,Maine,4105,-70.2336,43.7142
Cumberland Farmers Market,290 Tuttle Road,Cumberland Center,Cumberland,Maine,4021,-70.2449,43.7897
CUMC FARMERS MARKET,6101 GRELOT RD,MOBILE,MOBILE,Alabama,36609,-88.186,30.661
Curtis Farmers Market,Highway 231 & Center Avenue,Curtis,Frontier,Nebraska,69025,-100.515,40.6311
Cushing Farmers Market,Northwest corner of Braodway & Cleveland,Cushing,Payne,Oklahoma,74023,-96.7727,35.98
Custer Farmers Market,Mt Rushmore Rd,Custer City,Custer,South Dakota,57730,-103.601291,43.765737
Cutler Bay Farmers Market,20002 Old Cutler Road,Miami,Miami-Dade,Florida,33175,-80.3302,25.5812
Cypress Center Farmers' Market,"50 E. Hospital St., Ste. 5",Manning,Clarendon,South Carolina,29102,-80.2107613,33.687876
D'Iberville Farmers Market,10383 Automall Parkway,D'Iberville,Harrison,Mississippi,39540,-88.9003,30.4341
Dag Hammarskjold Plaza Greenmarket,E 47 St & 2 Ave,New York,New York,New York,10017,-73.9699,40.753
Dag Hammerskjold Plaza Greenmarket,47th Street at Second Ave,Manhattan,,New York,10017,-73.9699,40.753
Dahlonega Farmers Market,465 Riley Road,Dahlonega,,Georgia,30522,-83.9737,34.528
Dahlonega Farmers Market,West Main Street & Waters Street,Dahlonega,Lumpkin,Georgia,30533,-83.98608,34.532086
Daily Harvest Market,155 Quail Gardens Dr.,Encinitas,,California,92024,-117.279,33.0489
Dairymel Farms,1803 Hazelton-Etna Road,Pataskala,Licking,Ohio,,-82.6723,40.007
Dale City Farmers Market,14090 Gemini Way,Dale City,Prince William,Virginia,22193,-77.3410794,38.6471464
Dale's Saturday Market,1296 Kennedy-Ford Road,Potlatch,Latah,Idaho,,-116.965,46.9223
DALEVILLE FARMERS MARKET,Daleville Avenue and Old Highway 134,DALEVILLE,Dale,Alabama,36322,-85.71456,31.307407
Daley Plaza Chicago Farmers Market,50 W. Washington St.,Chicago,Cook,Illinois,60602,-87.626,41.8851
Dallas Farmers Market,1010 S. Pearl Expressway,Dallas,Dallas,Texas,75201,-96.7901,32.7773
Dallas Farmers' Market,236 West Dallas Street,Dallas,Barron,Wisconsin,54733,-91.817679,45.258833
Daly City Farmers' Market at Serramonte Center,133 Serramonte Center,Daly City,San Mateo,California,94015,-122.472196,37.671261
Damascus Fresh & Local Market,19850 SE Damascus Ln,Damascus,Clackamas,Oregon,97089,-122.457744,45.419336
Danbury Farmers Market,102 Old Church Road,Danbury,Stokes,North Carolina,27016,-80.2025,36.4097
Danbury Farmers' Market,Kennedy Avenue,Danbury,Fairfield,Connecticut,6810,-73.455371,41.396242
Dandridge Farmers Market,Gay Street and Meeting Street,Dandridge,Jefferson,Tennessee,37725,-83.415659,36.016364
Dane County Farmers Market I,330 W. Miffline St.,Madison,Dane,Wisconsin,53703,-89.3892386,43.072911
Dane County Farmers Market I,One John Nolen Drive,Madison,Dane,Wisconsin,53703,-89.38027,43.071445
Dane County Farmers Market I,"200 block of Martin Luther King, Jr. Blvd",Madison,Dane,Wisconsin,53703,-89.381847,43.072775
Dane County Farmers Market I,"Capitol Square, Downtown",Madison,Dane,Wisconsin,53701,-89.384251,43.074625
Daniel Wilson,640 S KY 15,Campton,Wolfe,Kentucky,41301,-83.515101,37.696839
Daniels Farmstead,286 Mendon St,Blackstone,Worcester,Massachusetts,1504,-71.552083,42.060276
Danielson Farmers Market,"Killingly Memorial Library, 25 Westcott Road",Danielson,Windham,Connecticut,6239,-71.8776,41.8091
Dansville Farmers Market,"Airport Hanger parking lot, 50 Maple Ave.",Dansville,Livingston,New York,,-77.7084,42.566
Dansville Farmers' Market,1050 Dakin St.,Dansville,Ingham,Michigan,48819,-84.308382,42.554731
Danville Auction,15684 Body Rd.,Danville,Knox,Ohio,43014,-82.2445,40.4553
Danville Caledonia Farmers' Market,On the green,Danville,Caledonia,Vermont,,-72.1022,44.4647
Danville Farmers Market,51 Peacham Road,Danville,Caledonia,Vermont,5828,-72.1396,44.4108
Danville Farmers' Market,629 Craighead St.,Danville,Pittsylvania,Virginia,24541,-79.385211,36.584175
Danville Farmers' Market,205 Railroad Ave,Danville,Contra Costa,California,94526,-121.999869,37.819955
Darby Farmers Market,106 S Main Street,Darby,Ravalli,Montana,59829,-114.178,46.0204
Darien Farmers Market,"Mechanic Street, Behind Fire House",Darien,Fairfield,Connecticut,6810,-73.4828,41.0753
Darlington Farmers Market,,Darlington,Lafayette,Wisconsin,53530,-90.1214,42.6772
Dartmouth Farmers Market,"Rex Field, adjacent to St. Peters Church, 351 Elm Street, Padanaram Village",Dartmouth,Bristol,Massachusetts,2747,-70.94434,41.58768
Dauphin Island Market,East Bienville Blvd at Cadillac Square Park,Dauphin Island,Mobile,Alabama,36528,-88.1594,30.2507
Davenport Farmers Market,City Park,Davenport,Thayer,Nebraska,68335,-97.810674,40.311749
Davenport Farmers' Market,320 W. Kimberly Rd.,Davenport,Scott,Iowa,52806,-90.57086,41.56319
David City Farmers Market,Courthouse parking lot,David City,Butler,Nebraska,68632,-97.1286,41.2531
Davis County Farmers' Market,100 Courthouse Square,Bloomfield,Davis,Iowa,52537,-92.414374,40.751418
Davis County Farmers' Market,100 E. Jefferson St.,Bloomfield,Davis,Iowa,52537,-92.414246,40.751572
Davis Farmers Market,4th and C Streets,Davis,Yolo,California,95616,-121.7439932,38.545451
Davison Downtown Farmers Market,Cornier of Shoppers Alley & Second Street,Davison,Genesee,Michigan,48423,-83.516,43.0317
Dawson County Farmers Market,298 Academy Avenue,Dawsonville,Dawson,Georgia,30534,-84.119596,34.420216
Dayton & Silver Springs Farmers Markets,1355 Donner Trail Road,Silver Springs,Lyon,Nevada,89429,-119.221959,39.414314
Dayton Farmers Market,3105 John Wayland Highway,Dayton,Rockingham,Virginia,22824,-78.8763,38.4258
Dayton Farmers Market,Courthouse Square,Dayton,Rhea,Tennessee,37321,-85.012615,35.495355
Dayton Farmers Market,Hwy 50 and 2nd Ave.,Dayton,Lyon,Nevada,89403,-119.589435,39.238325
Dayville Mercantile,207 W. Franklin Ave,Dayville,Grant,Oregon,97825,-119.537,44.4701
DC Farmers Market,"1309 5th Street, NE",Washington,District of Columbia,District of Columbia,20002,-76.998,38.9088
De Pere Farmer Market,144 N Wisconsin St,De Pere,Brown,Wisconsin,54115,-88.0592,44.4496
De Soto Farmers' Market,1004 Rock Road,De Soto,Jefferson,Missouri,63020,-90.56474,38.1388589
Deaf Smith Chamber of Commerce Farmers Market,200 E. Park Avenue,Hereford,Deaf Smith,Texas,79045,-102.404,34.8221
Deale Farmers' Market,5965 Deale Churchton Road,Deale,Anne Arundel,Maryland,20751,-76.552691,38.78112
Deans Farm Market,4231 NC Hwy 42 West,Wilson,,North Carolina,27893,-77.9008,35.7334
Decatur Farmer's Market,231 East Monroe Street,Decatur,Adams,Indiana,46733,-84.92007,40.83229
Decatur Farmers Market,In the park downtown at Phelps & St Marys,Decatur,Van Buren,Michigan,49045,-85.9774,42.1119
