State,County,PK thru 12th Students 2009-10,PK thru 12th Students 2008-09,PK thru 12th Students 2007-08,PK thru 12th Students 2006-07,PK thru 12th Students 2005-06,Male Students [Public School] 2012-13,Male Students [Public School] 2011-12,Male Students [Public School] 2010-11,Male Students [Public School] 2009-10,Male Students [Public School] 2008-09,Male Students [Public School] 2007-08,Male Students [Public School] 2006-07,Male Students [Public School] 2005-06,Female Students [Public School] 2012-13,Female Students [Public School] 2011-12,Female Students [Public School] 2010-11,Female Students [Public School] 2009-10,Female Students [Public School] 2008-09,Female Students [Public School] 2007-08,Female Students [Public School] 2006-07,Female Students [Public School] 2005-06,American Indian/Alaska Native Students [Public School] 2012-13,American Indian/Alaska Native Students [Public School] 2011-12,American Indian/Alaska Native Students [Public School] 2010-11,American Indian/Alaska Native Students [Public School] 2009-10,American Indian/Alaska Native Students [Public School] 2008-09,American Indian/Alaska Native Students [Public School] 2007-08,American Indian/Alaska Native Students [Public School] 2006-07,American Indian/Alaska Native Students [Public School] 2005-06,Asian or Asian/Pacific Islander Students [Public School] 2012-13,Asian or Asian/Pacific Islander Students [Public School] 2011-12,Asian or Asian/Pacific Islander Students [Public School] 2010-11,Asian or Asian/Pacific Islander Students [Public School] 2009-10,Asian or Asian/Pacific Islander Students [Public School] 2008-09,Asian or Asian/Pacific Islander Students [Public School] 2007-08,Asian or Asian/Pacific Islander Students [Public School] 2006-07,Asian or Asian/Pacific Islander Students [Public School] 2005-06,Hispanic Students [Public School] 2012-13,Hispanic Students [Public School] 2011-12,Hispanic Students [Public School] 2010-11,Hispanic Students [Public School] 2009-10,Hispanic Students [Public School] 2008-09,Hispanic Students [Public School] 2007-08,Hispanic Students [Public School] 2006-07,Hispanic Students [Public School] 2005-06,Black Students [Public School] 2012-13,Black Students [Public School] 2011-12,Black Students [Public School] 2010-11,Black Students [Public School] 2009-10,Black Students [Public School] 2008-09,Black Students [Public School] 2007-08,Black Students [Public School] 2006-07,Black Students [Public School] 2005-06,White Students [Public School] 2012-13,White Students [Public School] 2011-12,White Students [Public School] 2010-11,White Students [Public School] 2009-10,White Students [Public School] 2008-09,White Students [Public School] 2007-08,White Students [Public School] 2006-07,White Students [Public School] 2005-06,Hawaiian Nat./Pacific Isl. Students [Public School] 2012-13,Hawaiian Nat./Pacific Isl. Students [Public School] 2011-12,Hawaiian Nat./Pacific Isl. Students [Public School] 2010-11,Hawaiian Nat./Pacific Isl. Students [Public School] 2009-10,Hawaiian Nat./Pacific Isl. Students [Public School] 2008-09,Two or More Races Students [Public School] 2012-13,Two or More Races Students [Public School] 2011-12,Two or More Races Students [Public School] 2010-11,Two or More Races Students [Public School] 2009-10,Two or More Races Students [Public School] 2008-09
TENNESSEE,BLEDSOE COUNTY,1912,1948,1944,1983,1973,1092,1052,1044,1016,1028,1048,1062,1060,936,925,931,896,920,921,959,947,10,7,9,7,6,9,7,10,5,3,3,1,4,2,5,2,124,101,102,85,68,56,46,48,21,28,25,21,21,21,19,12,1856,1829,1833,1798,1849,1881,1944,1935,2,3,0,†,†,10,6,3,†,†
TENNESSEE,BLOUNT COUNTY,18511,18577,18089,17736,17239,9382,9404,9563,9470,9538,9575,9284,9102,8913,8970,9014,9041,9039,9082,8853,8645,37,42,38,38,28,21,24,25,206,186,166,217,215,208,206,200,721,547,494,503,486,466,383,328,675,702,699,751,753,780,738,720,16334,16649,16988,17002,17095,17182,16786,16474,13,13,22,†,†,309,235,170,†,†
ALABAMA,BLOUNT COUNTY,9909,9806,9790,9613,9342,5001,5064,5288,5137,5080,5079,4948,4799,4805,4823,5085,4767,4721,4710,4627,4543,20,19,18,20,17,24,22,22,27,25,26,34,38,32,34,29,1305,1276,1258,1199,1140,1038,987,897,164,185,165,159,179,173,147,130,8220,8345,8885,8492,8427,8522,8385,8264,7,3,0,†,†,63,34,21,†,†
MINNESOTA,BLUE EARTH COUNTY,9963,9973,9953,9899,9905,4112,3998,3798,3809,3912,4066,4510,4508,3947,3910,3640,3561,3715,3844,4200,4266,30,27,30,36,36,31,33,34,191,167,167,191,201,182,199,190,355,348,302,290,300,291,289,307,640,579,520,508,482,482,467,430,6692,6676,6342,6345,6608,6924,7722,7813,6,4,7,†,†,145,107,70,†,†
IDAHO,BOISE COUNTY,951,994,1026,1035,1082,440,457,471,508,520,529,534,579,409,409,418,443,474,497,501,503,9,10,13,15,8,11,17,11,1,2,1,5,2,4,6,2,46,41,43,30,32,54,34,37,10,4,3,11,9,12,15,13,777,800,824,890,943,945,963,1019,1,0,2,†,†,5,9,3,†,†
MISSISSIPPI,BOLIVAR COUNTY,6482,6545,6789,6909,7035,3263,3271,3294,3313,3164,3288,3525,3648,3215,3234,3202,3249,3080,3196,3476,3579,6,6,3,1,0,0,3,1,43,32,27,31,20,22,29,22,122,109,103,92,79,75,70,76,5115,5205,5224,5310,5246,5463,5734,5938,1164,1135,1130,1121,899,924,1165,1190,0,0,0,0,0,28,18,9,7,0
MISSOURI,BOLLINGER COUNTY,1922,1953,1983,1998,1961,944,976,962,980,992,1013,1001,985,931,931,921,942,961,970,997,976,4,6,8,3,4,5,3,4,3,3,2,2,4,3,8,5,9,7,7,8,12,8,8,6,7,8,4,5,4,3,3,74,1850,1882,1861,1904,1929,1964,1976,1872,0,0,0,†,†,2,1,1,†,†
SOUTH DAKOTA,BON HOMME COUNTY,1084,1092,‡,1158,1192,565,568,569,574,584,589,616,610,567,549,544,510,508,517,542,563,20,19,14,16,23,23,24,20,1,1,2,5,1,2,4,7,20,14,17,12,15,16,8,4,8,7,10,12,12,12,11,11,1072,1070,1065,1039,1041,1053,1111,1131,0,0,0,†,†,11,6,5,†,†
ILLINOIS,BOND COUNTY,2514,2459,2441,2439,2343,1256,1251,1250,1305,1160,1239,1250,1227,1180,1148,1123,1155,1258,1162,1170,1088,5,4,3,6,1,1,3,1,12,16,15,20,13,12,9,9,37,28,38,30,32,25,21,21,72,79,83,107,114,119,127,104,2219,2193,2159,2297,2258,2244,2260,2180,2,3,4,†,†,89,76,71,†,†
IDAHO,BONNER COUNTY,5210,5370,5562,5645,5711,2668,2642,2667,2689,2748,2863,2885,2948,2482,2508,2537,2521,2622,2699,2760,2763,51,50,51,91,80,84,80,69,25,25,25,45,48,44,39,44,196,196,197,159,122,109,109,98,18,21,21,31,33,39,26,23,4648,4651,4707,4884,5087,5286,5391,5477,11,13,9,†,†,201,194,194,†,†
IDAHO,BONNEVILLE COUNTY,21087,20730,20287,19557,18954,11381,10952,10814,11024,11119,10932,10193,9874,10797,10458,10226,10269,10243,10026,9352,9069,127,128,205,165,149,146,139,165,149,159,145,246,252,236,244,222,3671,3387,3240,2779,2717,2570,2266,2094,157,164,170,229,231,228,202,211,17546,17052,16774,17874,18013,17778,16694,16251,35,41,42,†,†,493,479,464,†,†
ILLINOIS,BOONE COUNTY,10834,10710,10859,10457,10035,3883,5233,5321,5316,5039,5412,5233,5064,3747,5057,5096,5053,5279,5094,4950,4775,25,31,35,17,21,18,22,14,80,118,119,135,133,128,115,118,2606,3285,3256,3117,3020,3063,2845,2520,218,239,247,244,279,287,223,201,4494,6335,6497,6856,6865,7010,6978,6986,19,40,42,†,†,188,242,221,†,†
IOWA,BOONE COUNTY,3880,3815,3823,3897,3976,2339,2320,2326,2280,2269,2080,2101,2256,1856,1871,1855,1837,1901,1907,1961,1925,28,32,30,26,19,8,12,6,16,13,15,21,25,27,22,18,174,180,155,124,147,85,70,75,137,111,99,108,95,74,59,60,3748,3771,3801,3760,3884,3793,3899,4022,0,0,1,1,†,92,84,80,77,†
ARKANSAS,BOONE COUNTY,6355,6374,6443,6442,6225,3249,3272,3295,3301,2827,2857,3334,3215,3092,3051,3072,3054,2573,2604,3108,3010,47,47,43,43,33,25,20,18,44,37,39,30,30,30,35,29,129,136,126,100,83,72,75,70,26,21,31,28,19,14,16,19,6016,6006,6064,6086,5235,5320,6296,6089,6,9,13,17,†,73,67,51,51,†
INDIANA,BOONE COUNTY,10928,10795,10691,10399,10247,5798,5707,5625,5479,5409,5408,5289,5297,5443,5389,5360,5181,5141,5091,4941,4950,34,37,37,43,47,40,41,53,253,235,213,228,211,214,191,179,409,377,351,220,207,197,175,173,120,104,96,94,89,78,61,50,10100,10075,10044,10075,9996,9970,9762,9792,4,7,4,†,†,321,261,240,†,†
KENTUCKY,BOONE COUNTY,20583,19997,19429,18662,18406,11121,11030,10860,10529,10175,9881,9474,9333,10262,10136,10004,9617,9439,9211,8865,8609,31,37,38,39,34,33,30,26,461,476,497,507,467,411,352,303,1215,1054,922,729,654,599,554,472,665,688,707,659,558,527,478,438,18392,18374,18300,18212,17901,17522,16925,16703,50,47,39,†,†,569,490,361,†,†
MISSOURI,BOONE COUNTY,22516,22413,22295,22126,21748,12069,11922,11787,11643,11591,11509,11386,11120,11146,11076,10974,10935,10883,10838,10792,10680,82,85,91,130,65,67,65,64,943,983,908,1035,946,955,880,863,1101,1050,980,773,745,756,702,600,3741,3740,3741,4273,4111,4026,3965,3835,16252,16100,16012,16367,16607,16543,16566,16438,3,3,29,†,†,1093,1037,1000,†,†
NEBRASKA,BOONE COUNTY,875,904,929,953,968,417,416,435,436,451,474,491,501,416,430,445,439,453,455,462,467,5,4,4,4,2,3,2,0,8,6,5,6,3,4,3,2,26,26,27,22,23,24,21,16,1,3,4,3,4,2,2,1,790,803,837,840,872,896,925,949,0,0,0,†,†,3,4,3,†,†
WEST VIRGINIA,BOONE COUNTY,4672,4622,4601,4600,4566,2232,2261,2319,2354,2408,2420,2431,2409,2020,2036,2088,2177,2241,2212,2200,2182,0,0,1,2,2,1,2,2,12,10,7,6,3,4,4,1,11,11,9,11,16,15,19,18,41,41,40,44,38,45,53,46,4185,4233,4349,4466,4590,4567,4553,4524,0,0,0,0,†,3,2,1,2,†
TEXAS,BORDEN COUNTY,222,192,168,144,155,116,102,113,111,96,90,78,88,123,110,114,111,96,78,66,67,2,2,3,12,15,13,14,17,0,0,0,0,0,0,0,0,41,36,41,41,37,32,26,23,2,0,0,1,1,0,0,0,177,156,165,168,139,123,104,115,0,0,0,†,†,17,18,18,†,†
TEXAS,BOSQUE COUNTY,3122,3043,2601,2657,3287,1621,1674,1794,1759,1553,1593,1604,1637,1463,1555,1586,1599,1490,1533,1582,1650,17,17,19,17,16,13,9,10,14,11,5,13,11,11,10,9,965,978,1028,947,805,818,804,828,66,64,79,121,95,107,107,105,1938,2089,2177,2260,2116,2177,2256,2335,4,4,5,†,†,80,66,67,†,†
LOUISIANA,BOSSIER PARISH,20186,19707,19526,19393,19202,11115,10923,10735,10498,10201,10014,9882,9778,10375,10165,9974,9763,9578,9575,9515,9427,94,93,115,60,56,55,62,57,325,299,322,368,332,331,312,283,1435,1425,924,1181,1030,926,802,706,5897,5736,5713,6059,5946,5929,6015,6018,12933,12755,12877,12593,12415,12348,12206,12141,47,39,32,†,†,759,741,726,†,†
VIRGINIA,BOTETOURT COUNTY,5086,4947,4998,4940,4891,2582,2631,2621,2624,2538,2554,2518,2507,2380,2420,2388,2395,2350,2388,2380,2343,8,9,10,8,9,12,11,10,28,29,16,38,44,38,38,35,107,101,83,59,41,50,34,34,122,127,61,151,156,153,152,154,4584,4666,4776,4763,4638,4689,4663,4617,5,5,2,†,†,108,114,61,†,†
NORTH DAKOTA,BOTTINEAU COUNTY,798,872,841,881,931,423,411,421,425,468,456,488,517,398,374,371,373,404,385,393,414,43,46,53,40,40,34,40,42,11,11,9,8,6,2,2,2,20,18,0,13,9,4,3,4,7,5,5,7,6,4,3,5,724,700,702,730,811,797,833,878,1,1,0,†,†,15,4,23,†,†
COLORADO,BOULDER COUNTY,55735,54761,53253,52301,51318,23579,23117,22732,22380,22143,21617,21688,21442,22677,22186,21800,21330,21084,20564,20751,20541,217,246,247,323,322,322,318,298,2396,2380,2267,2627,2469,2323,2276,2153,10996,10789,10488,9669,9281,8839,8554,8332,423,428,466,632,642,611,615,622,30518,29901,29661,30459,30513,30086,30676,30578,75,59,74,†,†,1631,1500,1329,†,†
IDAHO,BOUNDARY COUNTY,1597,1591,1634,1604,1598,768,762,780,831,804,832,827,798,710,723,734,766,787,802,777,800,42,40,47,47,37,40,29,32,11,11,9,16,10,13,10,14,70,82,73,92,96,105,92,76,8,13,7,15,10,12,15,11,1321,1313,1358,1427,1438,1464,1458,1465,0,0,3,†,†,26,26,17,†,†
KENTUCKY,BOURBON COUNTY,3656,3579,3630,3390,3729,1933,1922,1875,1844,1817,1859,1749,1739,1801,1789,1770,1765,1735,1753,1618,1620,5,7,5,5,5,5,4,4,10,10,10,16,13,11,10,6,457,414,397,347,279,234,173,140,284,292,307,315,317,325,288,281,2857,2890,2860,2926,2938,3037,2892,2928,0,0,0,†,†,121,98,66,†,†
KANSAS,BOURBON COUNTY,2461,2518,2500,2477,2389,1004,1223,1257,1257,1266,1262,1240,1260,936,1176,1192,1203,1225,1228,1181,1175,12,14,20,22,32,31,32,17,27,26,32,27,23,22,22,16,58,62,61,35,50,44,35,41,74,90,85,82,89,99,108,115,1701,2128,2174,2226,2297,2294,2224,2246,1,3,3,1,†,67,76,74,67,†
TEXAS,BOWIE COUNTY,17939,17659,17409,17218,17225,9193,9060,9114,9089,9014,8873,8845,8837,8814,8858,8788,8850,8645,8536,8373,8388,105,102,104,124,125,123,122,111,174,165,162,200,198,177,150,161,1575,1458,1349,1099,929,808,751,640,5503,5484,5467,5802,5689,5692,5676,5616,9886,9992,10160,10714,10718,10609,10519,10697,24,18,21,†,†,740,699,639,†,†
NORTH DAKOTA,BOWMAN COUNTY,558,572,592,609,605,308,282,273,279,291,301,307,303,290,276,259,279,281,291,302,302,15,11,7,8,2,1,3,0,0,0,0,2,0,0,0,4,39,33,0,23,25,29,17,8,6,5,3,3,4,5,3,3,533,505,501,522,541,557,586,590,3,2,2,†,†,2,2,19,†,†
NEBRASKA,BOX BUTTE COUNTY,1892,1962,2076,2061,2114,1016,1031,1018,981,1034,1067,1079,1120,969,946,952,911,928,1006,982,994,103,88,82,158,164,138,143,137,7,4,4,7,19,13,17,12,329,329,338,321,309,353,334,317,16,16,14,24,27,27,24,24,1425,1443,1438,1382,1443,1542,1543,1624,1,1,0,†,†,104,96,94,†,†
UTAH,BOX ELDER COUNTY,11582,11264,11909,10635,10591,6047,5955,5897,5534,5866,6226,5546,5495,5582,5494,5413,5069,5392,5679,5089,5096,84,74,87,82,77,100,80,80,66,78,112,135,155,174,133,123,1088,1069,1019,927,952,1029,869,900,64,83,86,85,88,103,76,69,10179,10023,9929,9374,9986,10499,9477,9419,36,31,39,†,†,112,91,38,†,†
NEBRASKA,BOYD COUNTY,355,350,358,375,383,162,166,168,173,165,168,187,175,172,187,175,182,185,190,188,208,7,6,3,2,3,1,7,3,0,2,1,1,1,0,0,0,6,9,15,12,9,11,5,4,5,5,3,4,3,2,1,0,314,329,321,336,334,344,362,376,0,0,0,†,†,2,2,0,†,†
KENTUCKY,BOYD COUNTY,7645,7463,7388,7119,7642,3895,3925,3726,3875,3829,3787,3673,3779,3683,3721,3472,3681,3602,3595,3504,3566,9,9,8,16,10,12,14,18,35,37,31,32,24,28,31,35,106,104,92,88,59,53,47,35,195,194,195,205,208,212,208,220,7047,7139,6753,7215,7130,7077,6877,7037,4,1,0,†,†,182,162,119,†,†
KENTUCKY,BOYLE COUNTY,4653,4647,4660,4637,4706,2323,2325,2309,2280,2284,2260,2305,2309,2372,2342,2297,2185,2171,2154,2168,2171,7,8,13,6,6,8,12,23,57,63,58,54,53,44,46,43,217,194,181,126,126,132,135,118,374,367,377,381,370,383,391,380,3833,3835,3793,3898,3900,3847,3889,3916,4,4,3,†,†,203,196,181,†,†
KENTUCKY,BRACKEN COUNTY,1538,1582,1547,1496,1540,817,789,786,786,822,801,765,749,737,715,726,740,756,744,734,711,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,29,29,22,15,12,11,5,6,9,12,14,12,12,16,17,20,1509,1459,1474,1499,1554,1516,1476,1433,0,0,0,†,†,7,4,2,†,†
FLORIDA,BRADFORD COUNTY,3275,3403,3576,3683,3779,1690,1732,1680,1640,1799,1922,1950,2059,1585,1622,1598,1544,1611,1718,1798,1870,4,5,7,4,4,5,4,5,26,28,26,25,26,30,29,28,87,94,106,86,99,117,106,88,767,791,792,761,803,862,911,1015,2311,2354,2279,2308,2478,2626,2698,2793,8,6,6,†,†,72,76,62,†,†
PENNSYLVANIA,BRADFORD COUNTY,9935,8625,8897,10854,10678,4705,4948,4949,5000,4842,5249,5532,5451,4544,4797,4775,4810,4683,4975,5184,5138,20,32,19,19,21,19,16,13,60,48,48,54,61,65,70,58,118,120,113,77,72,81,77,75,103,110,134,150,142,142,172,158,8863,9374,9379,9510,9229,9917,10381,10285,7,5,2,†,†,78,56,29,†,†
TENNESSEE,BRADLEY COUNTY,15428,15340,15058,15232,14041,8315,8240,8169,8038,8052,7920,8092,7402,7550,7515,7437,7390,7288,7219,7232,6807,30,30,36,34,34,21,17,16,148,136,139,162,154,160,151,149,1249,1022,330,822,743,669,625,535,993,1038,1028,1051,1057,983,961,858,13279,13419,13993,13359,13352,13306,13570,12651,26,25,22,†,†,140,85,58,†,†
ARKANSAS,BRADLEY COUNTY,2010,2046,2126,2140,2174,1020,1013,1006,1005,1018,1060,1087,1095,1033,1023,1030,1005,1028,1066,1053,1079,6,7,3,1,3,3,4,3,0,0,0,0,2,6,6,6,467,441,432,399,393,373,355,341,591,585,605,612,645,724,715,751,971,993,984,991,1003,1020,1060,1073,0,0,1,0,†,18,10,11,7,†
MICHIGAN,BRANCH COUNTY,8057,8094,8113,7910,7744,3480,3418,3594,4165,4108,4159,4180,3909,3328,3255,3361,3659,3709,3706,3837,3663,11,13,12,24,25,29,30,29,68,78,85,65,70,69,75,73,497,456,504,467,474,450,485,420,38,38,43,68,78,59,66,51,6125,6003,6224,7200,7170,7258,7361,6999,2,1,2,†,†,67,84,85,†,†
GEORGIA,BRANTLEY COUNTY,3591,3621,3557,3553,3472,1859,1856,1829,1838,1832,1804,1837,1808,1694,1707,1731,1753,1732,1700,1672,1626,4,5,5,5,6,5,7,5,6,8,8,10,12,14,14,10,77,75,72,78,48,42,43,43,94,91,84,88,109,97,106,106,3346,3356,3371,3393,3389,3346,3339,3270,0,1,0,1,†,26,27,20,16,†
WEST VIRGINIA,BRAXTON COUNTY,2230,2289,2291,2366,2411,1094,1089,1120,1149,1175,1169,1207,1217,1062,1068,1100,1081,1114,1122,1159,1194,0,0,0,0,2,1,2,2,5,4,6,7,14,12,9,7,9,8,5,7,9,7,7,8,12,14,10,10,15,12,11,13,2106,2113,2184,2191,2249,2259,2337,2381,0,0,0,0,†,24,18,15,15,†
TEXAS,BRAZORIA COUNTY,60251,59074,58002,56226,54578,32762,32231,31764,31291,30720,30042,29023,28219,30827,30152,29711,29146,28529,28093,27203,26359,319,330,365,206,200,163,168,162,3714,3570,3394,3424,3120,2745,2441,2124,24694,23804,22967,21575,20710,20132,18983,17926,8316,7987,7749,8264,8110,7727,7212,6664,25109,25297,25667,26968,27109,27368,27422,27702,59,52,58,†,†,1378,1343,1275,†,†
TEXAS,BRAZOS COUNTY,26445,25693,24712,24038,23811,13976,13675,13557,13281,12881,12405,12219,12075,13454,13234,13116,12751,12433,11939,11607,11476,56,50,46,54,48,28,29,23,969,971,958,997,969,937,895,877,10950,10448,10069,9183,8772,8211,7707,7272,4778,4793,4913,5127,5049,4846,4838,4880,10137,10191,10279,10671,10476,10322,10357,10499,28,18,19,†,†,512,438,389,†,†
KENTUCKY,BREATHITT COUNTY,2765,2708,2756,2596,2963,1293,1352,1321,1336,1310,1750,1263,1304,1110,1131,1122,1149,1180,1573,1135,1161,0,0,0,0,1,0,0,0,6,8,3,3,4,6,9,12,11,9,3,8,7,6,2,3,25,35,27,21,31,35,25,32,2356,2425,2407,2453,2447,3276,2362,2418,1,0,1,†,†,4,6,2,†,†
KENTUCKY,BRECKINRIDGE COUNTY,3161,2987,3023,2959,3134,1667,1653,1602,1621,1523,1533,1508,1506,1561,1575,1488,1504,1444,1474,1447,1449,2,4,4,4,2,3,4,7,12,12,12,10,11,7,8,8,52,51,41,33,27,24,28,26,82,79,73,85,61,67,76,77,3011,3019,2915,2993,2866,2906,2839,2837,1,2,0,†,†,68,61,45,†,†
IOWA,BREMER COUNTY,4752,4766,4744,4714,4726,2348,2306,2338,2317,2344,2359,2369,2364,2318,2231,2209,2185,2197,2163,2158,2153,7,5,4,4,1,2,2,8,28,28,20,23,37,35,24,34,79,67,62,54,34,35,23,20,35,30,27,33,50,41,50,37,4431,4342,4360,4306,4419,4409,4428,4418,3,0,0,0,†,83,65,74,82,†
FLORIDA,BREVARD COUNTY,72412,73098,74369,74785,75233,36643,36959,36961,35098,35813,36861,37223,38819,34585,34833,34905,33278,33880,34505,34758,36535,175,169,169,221,225,240,242,233,1463,1419,1398,1609,1538,1542,1459,1397,9157,9055,8921,6272,6238,6170,5831,5428,10340,10189,10126,10773,10727,10990,10783,10849,45179,45988,46320,49501,50965,52424,53666,57447,66,61,46,†,†,4848,4911,4886,†,†
TEXAS,BREWSTER COUNTY,1259,1232,1217,1228,1280,651,675,659,658,649,646,638,649,613,622,626,601,583,571,590,631,3,4,4,7,11,9,9,8,7,14,14,14,9,8,7,8,829,856,819,787,779,791,819,855,6,8,13,21,15,15,17,12,401,401,410,430,418,394,376,397,0,0,0,†,†,18,14,25,†,†
TEXAS,BRISCOE COUNTY,370,394,413,206,224,207,210,210,193,204,211,107,121,201,195,192,177,190,202,99,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155,157,153,138,147,156,69,74,11,10,11,11,9,10,3,4,237,231,232,221,238,247,134,146,0,0,0,†,†,5,7,6,†,†
ALASKA,BRISTOL BAY BOROUGH,545,566,593,608,181,80,90,86,75,78,103,104,89,83,87,94,83,83,92,85,92,98,105,106,91,97,126,124,117,1,4,4,3,3,3,2,2,4,5,4,0,2,0,0,0,0,0,0,0,0,0,0,0,58,60,63,62,54,66,63,62,2,3,3,2,0,0,0,0,0,5
VIRGINIA,BRISTOL CITY,2353,2414,2362,2394,2397,1226,1277,1274,1232,1274,1241,1263,1259,1134,1132,1123,1103,1128,1116,1125,1135,4,6,6,6,1,1,1,0,24,22,21,20,21,15,17,14,67,55,49,41,41,36,37,47,215,234,245,246,243,235,260,247,1974,2022,2016,2022,2096,2070,2073,2086,1,0,0,†,†,75,70,60,†,†
MASSACHUSETTS,BRISTOL COUNTY,80284,86472,87598,88524,89953,41810,41967,42465,42610,42878,42353,42880,43538,39344,39480,39563,39831,39897,39186,39712,40324,221,239,267,314,306,303,314,320,1909,1873,1818,1814,1740,1705,1673,1634,9381,8906,8414,8239,7887,7747,7557,7058,4544,4470,4422,4437,4479,4479,4564,4520,62144,63116,64412,64997,65777,67305,68484,70330,117,121,128,157,185,2838,2722,2567,2483,2401
RHODE ISLAND,BRISTOL COUNTY,6971,6894,6927,6971,6969,3384,3475,3510,3514,3516,3535,3553,3500,3354,3394,3402,3343,3306,3317,3322,3285,29,29,25,25,18,19,17,16,194,179,168,180,155,154,141,108,183,158,140,88,110,91,81,73,103,109,100,130,120,114,118,123,6060,6239,6348,6434,6419,6474,6518,6465,0,0,0,†,†,169,155,131,†,†
MONTANA,BROADWATER COUNTY,718,735,697,695,721,353,367,377,395,393,358,363,372,291,303,309,323,342,339,332,349,10,11,11,13,19,17,17,21,3,4,2,8,9,6,3,4,22,28,39,17,16,13,9,6,8,7,2,6,9,10,11,10,592,614,593,674,682,651,655,680,1,1,2,†,†,8,5,37,†,†
NEW YORK,BRONX COUNTY,189527,186705,189381,190341,2972,112451,110125,111264,110348,109137,109548,109324,110096,104967,103226,103885,103671,101473,102298,102647,103077,1362,1255,1234,959,1053,1022,1056,1124,9115,9042,9435,9072,8832,8514,8441,8277,133174,130662,130874,129090,126949,126851,126439,126631,63761,63113,64895,65640,65381,67013,67585,68483,8579,8481,8527,9258,8395,8446,8450,8658,698,610,0,†,†,729,188,184,†,†
WEST VIRGINIA,BROOKE COUNTY,3404,3423,3521,3586,3579,1709,1682,1730,1745,1741,1780,1799,1812,1623,1632,1633,1659,1682,1741,1787,1767,6,5,4,4,4,2,3,3,14,17,17,14,21,19,18,11,17,15,17,13,11,10,13,13,37,39,40,44,44,45,53,42,3202,3187,3230,3276,3343,3445,3499,3510,1,1,1,0,†,55,50,54,53,†
SOUTH DAKOTA,BROOKINGS COUNTY,4080,4144,3947,3928,3974,2073,2068,2038,1991,1999,1896,1891,1912,2032,1986,1968,1942,1980,1882,1855,1879,79,86,79,85,91,76,75,69,121,134,126,126,122,98,95,90,138,130,107,75,71,82,72,78,53,43,45,45,39,32,31,37,3648,3616,3620,3602,3656,3490,3473,3517,4,4,4,†,†,62,41,25,†,†
TEXAS,BROOKS COUNTY,1651,1629,1703,1740,1774,808,852,853,867,842,875,897,917,731,780,789,784,787,828,843,857,1,3,7,0,0,0,1,1,1,3,4,3,3,4,3,2,1517,1601,1600,1601,1572,1634,1663,1696,0,2,0,0,2,1,2,1,20,22,29,47,52,64,71,74,0,0,0,†,†,0,1,2,†,†
GEORGIA,BROOKS COUNTY,2361,2378,2433,2418,2389,1192,1202,1199,1224,1219,1242,1249,1251,1087,1096,1113,1137,1124,1147,1135,1104,4,7,3,3,1,2,2,5,7,11,11,10,9,6,4,6,229,217,218,200,150,138,133,106,1118,1129,1160,1219,1305,1381,1370,1419,870,879,854,856,878,862,875,819,0,0,1,4,†,51,55,65,69,†
NEW YORK,BROOME COUNTY,28585,29186,29507,30324,31202,13678,13921,13981,14209,14595,14681,15005,15869,13029,13294,13430,13676,13889,14081,14281,14818,70,89,79,89,90,88,93,64,798,861,912,927,904,852,830,791,1416,1265,1004,960,913,874,823,792,2262,2456,2506,2577,2483,2469,2374,2418,21127,21935,22477,23332,24094,24479,25166,26622,19,25,0,†,†,1015,584,433,†,†
COLORADO,BROOMFIELD COUNTY,†,†,†,†,†,5107,4991,4786,4782,4783,4720,4590,4600,5088,4873,4748,4591,4595,4591,4518,4531,45,43,45,55,54,60,62,65,656,646,453,675,669,633,582,562,1710,1644,1572,1388,1327,1314,1234,1152,117,119,84,150,158,167,166,150,7398,7153,7167,7105,7170,7137,7064,7202,13,8,10,†,†,256,251,203,†,†
FLORIDA,BROWARD COUNTY,256137,256351,258893,262813,271630,68408,133819,132480,128993,128581,129336,132361,140439,64826,125625,124649,120950,120908,122023,124265,131797,400,898,967,821,522,533,511,518,4570,9077,8895,9111,8835,8655,8606,8706,39339,74307,72979,72552,67008,66882,66834,68845,53423,101310,98846,97968,97471,97016,97944,103087,32024,66885,68347,69491,75653,78273,82731,91080,122,201,147,†,†,3356,6766,6948,†,†
WISCONSIN,BROWN COUNTY,42441,42072,40460,40632,40546,22000,21687,21705,21630,21572,20781,20843,20774,20744,20454,20434,20229,19992,19143,19271,19240,1340,1417,1494,1639,1597,1482,1478,1526,1824,1821,1892,1975,2068,1893,1972,2008,5847,5495,5012,4589,4303,3726,3502,3407,2120,2225,2050,2091,1989,1748,1661,1579,30519,30353,31080,31565,31607,31075,31501,31494,14,10,12,†,†,1080,820,599,†,†
ILLINOIS,BROWN COUNTY,806,809,783,783,768,357,352,367,370,402,423,570,433,383,380,389,404,402,397,385,372,0,1,1,0,0,0,3,0,4,6,6,7,13,14,15,14,6,1,3,1,5,13,32,12,1,0,1,6,4,27,98,27,721,712,735,760,782,766,807,752,0,0,0,†,†,8,12,10,†,†
